source_record,env,guid,game_id,won,total_actions,levels_completed,annotation_elements,annotation_chars,review_role
157,wa30,9149006d-c076-477e-bc91-7304a870fa28.recording,wa30-ee6fef47,0,2148,[8],8,47040,
158,wa30,8ded76ac-a0e1-4f00-98f6-7de0b3f7984f.recording,wa30-ee6fef47,0,2064,[8],8,70917,
159,wa30,fbd3f8c7-8327-4ad4-ac4b-91e00e6ddd9a.recording,wa30-ee6fef47,1,1616,[9],9,65349,primary
160,wa30,2075c80c-6806-4a27-bfd0-2c8df2909e44.recording,wa30-ee6fef47,0,89,[0],1,7647,
161,wa30,d7d7ab7e-44cb-49f4-93c0-b1d80aac9c39.recording,wa30-ee6fef47,0,816,[2],2,18704,comparison
162,wa30,5fd30bfc-e7c4-48e1-ac4c-65b80de6f7d8.recording,wa30-ee6fef47,1,1519,[9],9,58138,
163,wa30,e326447f-992b-4aba-bc39-21240eabe0e1.recording,wa30-ee6fef47,1,2291,[9],9,49754,
164,wa30,f73b1e1d-dbfc-412b-93a5-561954a3e88a.recording,wa30-ee6fef47,1,1719,[9],9,80392,
165,wa30,0f88f0f8-aeeb-438d-a901-fe09de856cfb.recording,wa30-ee6fef47,1,1564,[9],9,68740,
166,wa30,5c0bed76-ae96-43c1-b99b-aa293848257e.recording,wa30-ee6fef47,0,1233,[5],5,29861,
167,wa30,c070bccb-d8c1-4843-a094-4a997cbe6f5f.recording,wa30-ee6fef47,0,1718,[6],6,40941,
168,wa30,3e1755f8-402f-4867-8fdc-a59ce99eb307.recording,wa30-ee6fef47,0,378,[1],1,12213,
169,vc33,74e0c891-bfa0-4b39-be15-db1f8dce4366.recording,vc33-5430563c,1,1034,[7],7,32888,
170,vc33,837812ad-2c5c-4943-8632-b6f8cd4b5b4d.recording,vc33-5430563c,1,338,[7],7,37004,
171,vc33,e60e880e-aed6-4d38-af81-3ef95be929e1.recording,vc33-5430563c,1,412,[7],7,26696,
172,vc33,e31a16d6-345f-464f-abd4-077c20e51f77.recording,vc33-5430563c,1,474,[7],7,33824,
173,vc33,1469cb95-ccf9-4a93-8356-f44443d20dce.recording,vc33-5430563c,0,612,[6],6,24138,comparison
174,vc33,918430fb-d0ad-4d3a-9551-1a806e6ddd48.recording,vc33-5430563c,1,755,[7],7,39207,primary
175,vc33,4cffe392-c5a8-47f7-a2db-86a97a4606ca.recording,vc33-5430563c,1,449,[7],7,31899,
176,vc33,7fdb11de-8464-40ae-926a-dcad63592822.recording,vc33-5430563c,0,8,[0],1,4650,
177,vc33,f1addbb7-4708-48e4-8d47-095d049ad5d4.recording,vc33-5430563c,0,162,[2],2,10017,
178,vc33,374887fc-b52f-4ab9-bcaa-9b3ad5fdd9d2.recording,vc33-5430563c,0,282,[3],3,10917,
179,lf52,40bd319e-4d3a-451e-87e2-c88b02c2b024.recording,lf52-271a04aa,0,1604,[9],9,52769,
180,lf52,da243e77-1d54-4996-815b-8ec8d9611e5f.recording,lf52-271a04aa,0,989,[9],9,70117,
181,lf52,d55d768c-0ead-4e34-9c5e-288449092557.recording,lf52-271a04aa,1,1211,[10],10,97320,primary
182,lf52,09ed6d45-ac12-462f-aa01-49164a5f7ec7.recording,lf52-271a04aa,1,1252,[10],10,71196,
183,lf52,549e2635-b796-480c-b67f-f740c42bc086.recording,lf52-271a04aa,0,1313,[9],9,49088,
184,lf52,be7ef956-16ed-4bbd-9ce9-b8e92e666f2c.recording,lf52-271a04aa,0,1812,[9],9,62894,
185,lf52,2b7ab5e3-7ba6-4e65-845e-fa50fa439f8a.recording,lf52-271a04aa,0,78,[1],1,7949,
186,lf52,2adcd0b8-5e21-42e6-8976-b163b0d96d4a.recording,lf52-271a04aa,1,1741,[10],10,82308,
187,lf52,72a712db-3ae0-48df-8cfc-9bf9ceeca010.recording,lf52-271a04aa,0,67,[1],1,8048,
188,lf52,401bf4ae-848b-4c07-8f95-9e3d85ee1ebf.recording,lf52-271a04aa,0,79,[1],1,9371,comparison
189,lf52,c492c65f-dc07-4c5e-97ac-fce7a4366dbd.recording,lf52-271a04aa,1,1107,[10],10,82000,
190,r11l,1c820c2e-0bb7-4f54-bffe-e4d9a1385f89.recording,r11l-495a7899,1,152,[6],6,47051,primary
191,r11l,448ad63a-64a7-436e-8956-f2fe9163cd93.recording,r11l-495a7899,1,280,[6],6,34563,
192,r11l,0218265f-d04d-4f5e-8119-37d3aa7a481f.recording,r11l-495a7899,1,207,[6],6,23714,comparison
193,r11l,7bda9483-2c94-4d34-9657-e6fae7aa82ef.recording,r11l-495a7899,1,167,[6],6,26447,
194,r11l,669c3a6f-669a-42c4-b718-e5c3976310ad.recording,r11l-495a7899,1,266,[6],6,26095,
195,r11l,c12f8e45-8cbf-461d-a1be-e3e001eb9ba0.recording,r11l-495a7899,1,193,[6],6,27383,
196,r11l,ffb9b53d-d7a0-4d0b-866e-c49839ee57c5.recording,r11l-495a7899,1,692,[6],6,36675,
197,r11l,bb1c0808-4214-4bb7-a3b0-ebd42d37a985.recording,r11l-495a7899,1,209,[6],6,36634,
198,r11l,ceb779a0-75fa-47f3-a7e0-4347310fe8e5.recording,r11l-495a7899,1,327,[6],6,35011,
199,r11l,9a66bffc-2f6e-46f1-8243-eab372227374.recording,r11l-495a7899,1,446,[6],6,34737,
200,sc25,660643c5-f037-4f8a-bc7d-9e258f5fd5c3.recording,sc25-635fd71a,0,23,[0],1,7046,
201,sc25,18dd1fff-bad5-436a-98aa-c8f2b21522ee.recording,sc25-635fd71a,1,207,[6],6,21606,
202,sc25,b0b236ff-bd06-4f16-a350-5f1ca9f2446d.recording,sc25-635fd71a,1,216,[6],6,22615,
203,sc25,e46999e5-b318-4fe3-86e1-d9178e2e185d.recording,sc25-635fd71a,1,283,[6],6,34045,
204,sc25,34ab3462-db6e-4c26-a361-88fdf53cafc0.recording,sc25-635fd71a,0,410,[4],4,17495,comparison
205,sc25,eb6b26b6-0873-4164-9fbe-89660e2b783f.recording,sc25-635fd71a,0,1288,[5],5,24529,
206,sc25,f253a1f3-77a3-45b2-b0aa-dab4f3355f6c.recording,sc25-635fd71a,1,695,[6],6,46011,primary
207,sc25,8f50e6d5-f1e4-46e1-86b3-fad3ffd1c76a.recording,sc25-635fd71a,1,377,[6],6,23387,
208,sc25,0115a266-f750-41d0-9646-1b3113f8cf1c.recording,sc25-635fd71a,1,304,[6],6,23769,
209,sc25,b1877d54-7639-4f85-8836-c2701909eb77.recording,sc25-635fd71a,1,385,[6],6,34244,
210,sc25,eb453464-f145-4cb1-8887-fcf2c47cbbfb.recording,sc25-635fd71a,1,317,[6],6,22143,
211,sc25,0966d61f-d6d1-43f9-8f87-f35883dfa020.recording,sc25-635fd71a,1,449,[6],6,26676,
212,sc25,bf0940fa-bfa7-4452-8a1a-7393ab1677a3.recording,sc25-635fd71a,0,21,[0],1,6931,
213,sc25,55ca108d-e25d-4eb9-9ce4-02fc80685c71.recording,sc25-635fd71a,1,355,[6],6,22482,
214,sc25,d7a33e9c-ae5f-4a6d-a4a6-79c5b86b28cc.recording,sc25-635fd71a,0,354,[4],4,18106,
215,sp80,99c07645-c856-4c45-954d-e43e1b116fc5.recording,sp80-589a99af,1,441,[6],6,30921,
216,sp80,8dd23daf-8643-40ec-975c-88a28080fdf7.recording,sp80-589a99af,0,1161,[5],5,28685,
217,sp80,0e7037a5-ceaf-4654-b246-cc7067e47330.recording,sp80-589a99af,0,268,[4],4,25995,
218,sp80,add9ed90-535f-49f8-b90f-d804b5c96f68.recording,sp80-589a99af,0,343,[1],1,9638,
219,sp80,25b5db58-46f8-45af-a679-32494f3a9f60.recording,sp80-589a99af,0,68,[1],1,8833,
220,sp80,45683b33-7bb5-4089-834a-2f993939b252.recording,sp80-589a99af,0,134,[1],1,8606,
221,sp80,caa65c15-ff33-4ead-92ac-51230084bd98.recording,sp80-589a99af,0,227,[1],1,7951,
222,sp80,0a573e1a-5010-4914-ba09-9c106ab21354.recording,sp80-589a99af,0,273,[2],2,13839,
223,sp80,83caf46a-8c23-4d49-9440-3971018d0dba.recording,sp80-589a99af,0,154,[4],4,20039,comparison
224,sp80,ee7752b0-a9ad-4c23-8de4-173307367f31.recording,sp80-589a99af,1,472,[6],6,37147,primary
225,sp80,b6eabe86-57b6-4b9a-938e-d18535dd5ce4.recording,sp80-589a99af,0,31,[0],1,4761,
226,sp80,dcc71276-e037-4e3a-8711-7f0d88b8b3c9.recording,sp80-589a99af,0,434,[2],2,15218,
227,ar25,0cf890a2-b328-47f3-a845-0fa379d29358.recording,ar25-0c556536,0,1033,[6],6,44400,
228,ar25,41285539-37a7-4553-b731-a17a37a3f2df.recording,ar25-0c556536,1,751,[8],8,42760,
229,ar25,00589449-cfb4-4b98-a31e-2a344db66f89.recording,ar25-0c556536,0,1555,[7],7,50568,
230,ar25,b36f18b1-39c1-4aec-9d65-73a083a09f6a.recording,ar25-0c556536,1,577,[8],8,42407,
231,ar25,f4698acc-06ff-418b-b419-c384194aef0a.recording,ar25-0c556536,1,503,[8],8,32801,
232,ar25,2ef9c7c0-8d10-4ab0-af3f-27d9e655e113.recording,ar25-0c556536,1,1562,[8],8,51483,
233,ar25,e7f9a7d6-273f-4a1f-b9dd-01e694cda138.recording,ar25-0c556536,0,684,[6],6,37191,
